accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z
-0.731,-0.019,-0.708,0.977,0.061,-1.587
-0.721,-0.022,-0.705,-0.732,0.366,-1.831
-0.703,-0.036,-0.625,10.193,-2.747,-3.174
-0.684,-0.011,-0.701,-6.104,-5.188,0.488
-0.706,-0.028,-0.678,-1.831,-0.61,-1.526
-0.712,-0.014,-0.683,1.465,-1.404,-2.38
-0.717,-0.014,-0.698,0.793,-2.075,-2.197
-0.725,-0.026,-0.703,-0.61,1.892,-0.732
-0.719,-0.017,-0.693,0.793,-2.075,-2.747
-0.727,-0.023,-0.702,-0.793,-0.183,-0.549
-0.739,-0.016,-0.737,4.333,4.089,-2.014
-0.726,-0.023,-0.724,0.183,-0.549,-1.404
-0.721,-0.028,-0.716,0.793,-1.343,-2.563
-0.707,-0.016,-0.682,-2.686,-3.235,-1.16
-0.721,-0.017,-0.705,1.099,0.61,-2.014
-0.718,-0.019,-0.697,-0.549,-0.183,-1.526
-0.716,-0.013,-0.711,-0.793,1.526,-1.282
-0.714,-0.005,-0.714,-1.16,2.686,-0.732
-0.726,-0.028,-0.72,-2.502,1.465,0.671
-0.698,-0.027,-0.704,-4.089,-0.854,2.014
-0.688,-0.027,-0.639,8.057,-3.784,-2.258
-0.731,0.0,-0.786,-9.277,7.69,2.808
-0.717,-0.009,-0.714,0.488,0.305,-1.343
-0.718,-0.006,-0.722,2.136,-0.305,-1.648
-0.723,-0.013,-0.715,1.343,-1.648,-1.709
-0.735,-0.016,-0.72,-6.287,0.305,-1.099
-0.722,-0.008,-0.716,-2.014,-1.77,-1.831
-0.715,-0.01,-0.719,1.221,1.709,-2.075
-0.717,-0.011,-0.702,-1.038,-0.793,-1.343
-0.711,-0.017,-0.698,-1.831,2.319,-0.793
-0.71,-0.014,-0.706,0.854,-0.977,-1.77
-0.711,-0.01,-0.723,0.977,1.404,-1.526
-0.722,-0.015,-0.717,3.174,0.122,-1.282
-0.724,-0.016,-0.704,1.038,-3.662,-1.099
-0.734,-0.03,-0.764,-0.732,1.831,-1.587
-0.699,-0.019,-0.708,-0.488,-1.587,-1.709
-0.712,-0.015,-0.711,-6.836,-2.258,-1.587
-0.7,-0.006,-0.732,1.404,1.16,-4.883
-0.718,-0.006,-0.703,-1.465,1.465,-0.916
-0.707,-0.019,-0.699,-1.099,-0.916,-1.099
-0.726,-0.007,-0.712,5.005,-0.977,-2.136
-0.711,-0.018,-0.721,-2.441,-2.075,-1.099
-0.722,-0.015,-0.712,0.122,-0.122,-1.892
-0.715,-0.023,-0.713,1.099,-1.16,-2.136
