Class,Accel_x,Accel_y,Accel_y,Delta_accel_x,Delta_accel_y,Delta_accel_z,Previous_delta_accelerate_x,Previous_delta_accel_y,Previous_delta_z,Gyro_x,Gyro_y,Gyro_z,Delta_gyro_x,Delta_gyro_y,Delta_gyro_z,Prev_delta_gyro_x,Prev_delta_gyro_y,Prev_delta_gyro_z
0,-0.9746094,-0.2216797,-0.6413574,-0.3898926,-0.6002197,-0.06066895,-0.3979492,-0.8996582,-0.1923828,2.01416,-25.81787,12.02392,-230.5298,-37.47558,9.582519,64.39209,-27.89306,-7.812501
0,-0.8789063,0.07617188,0.1436768,0.09570313,0.2978516,0.7850342,-0.2941895,-0.3023682,0.7243652,19.59229,-118.2861,-26.97754,17.57813,-92.46825,-39.00146,-212.9516,-129.9438,-29.41894
0,-0.4666748,0.03857422,0.9020996,0.4122314,-0.03759766,0.7584229,0.5079346,0.2602539,1.543457,7.263183,-35.94971,1.403808,-12.3291,82.33642,28.38135,5.249023,-10.13184,-10.62012
0,-0.4957275,0.04125977,0.8879395,-0.02905273,0.002685547,-0.01416016,0.3831787,-0.03491211,0.7442627,1.098633,-0.7324218,-4.943848,-6.16455,35.21729,-6.347656,-18.49365,117.5537,22.03369
0,-0.369751,0.05786133,0.8438721,0.1259766,0.01660156,-0.04406738,0.09692383,0.01928711,-0.05822754,-6.652832,29.96826,7.324218,-7.751464,30.70068,12.26807,-13.91601,65.91797,5.92041
0,-0.8886719,0.0670166,-0.3690186,-0.5189209,0.009155273,-1.212891,-0.3929443,0.02575684,-1.256958,-42.96875,95.27587,1.098633,-36.31591,65.30761,-6.225585,-44.06738,96.00829,6.04248
0,-0.7398682,0.01611328,-0.7202148,0.1488037,-0.05090332,-0.3511963,-0.3701172,-0.04174805,-1.564087,9.94873,7.385253,-13.30566,52.91748,-87.89062,-14.4043,16.60156,-22.58301,-20.62988
0,-0.6699219,-0.005126953,-0.7242432,0.06994629,-0.02124023,-0.00402832,0.21875,-0.07214355,-0.3552246,-1.464844,13.3667,1.037598,-11.41357,5.981445,14.34326,41.5039,-81.90917,-0.06103516
0,0.1971436,-0.005004883,-0.8586426,0.8670654,0.00012207,-0.1343994,0.9370117,-0.02111816,-0.1384277,-1.647949,-36.25488,-9.338379,-0.1831055,-49.62158,-10.37598,-11.59668,-43.64014,3.967284
0,-0.05664063,0.01916504,-0.9747314,-0.2537842,0.02416992,-0.1160889,0.6132813,0.02429199,-0.2504883,1.770019,-15.93017,-6.04248,3.417969,20.32471,3.295899,3.234863,-29.29687,-7.080078
0,-0.6340332,-0.01416016,-0.7749023,-0.5773926,-0.0333252,0.1998291,-0.8311768,-0.009155273,0.08374023,2.258301,-80.5664,-0.9155272,0.4882813,-64.63622,5.126953,3.90625,-44.31152,8.422852
0,-0.696167,-0.06103516,-0.6290283,-0.06213379,-0.046875,0.145874,-0.6395264,-0.0802002,0.3457031,-26.97754,114.0747,4.882813,-29.23584,194.6411,5.79834,-28.74756,130.0049,10.92529
0,-0.135498,0.07531738,-1.004883,0.5606689,0.1363525,-0.3758545,0.4985352,0.08947754,-0.2299805,9.338379,8.422852,-0.6103516,36.31592,-105.6518,-5.493164,7.080078,88.98925,0.3051757
0,-0.1391602,-0.3109131,-0.9527588,-0.003662109,-0.3862305,0.05212402,0.5570068,-0.2498779,-0.3237305,129.3335,-38.69629,6.958007,119.9951,-47.11914,7.568359,156.311,-152.771,2.075195
0,-0.22229,-0.760376,-0.586792,-0.08312988,-0.4494629,0.3659668,-0.08679199,-0.8356934,0.4180908,-36.56006,7.385253,-8.483887,-165.8936,46.08154,-15.44189,-45.89844,-1.037598,-7.873535
0,-0.2619629,0.1206055,-0.9208984,-0.03967285,0.8809814,-0.3341064,-0.1228027,0.4315186,0.03186035,-12.26807,-1.708984,1.831055,24.29199,-9.094237,10.31494,-141.6016,36.9873,-5.126953
0,-0.1665039,0.7329102,-0.5657959,0.09545898,0.6123047,0.3551025,0.05578613,1.493286,0.02099609,-80.7495,-3.784179,10.86426,-68.48144,-2.075195,9.033202,-44.18945,-11.16943,19.34814
0,-0.2139893,0.7318115,-0.5611572,-0.04748535,-0.001098633,0.004638672,0.04797363,0.6112061,0.3597412,96.3745,-15.25879,-14.46533,177.124,-11.47461,-25.32959,108.6426,-13.5498,-16.29638
0,-0.3983154,-0.1850586,-0.8729248,-0.1843262,-0.9168701,-0.3117676,-0.2318115,-0.9179688,-0.3071289,20.01953,-9.70459,-2.685547,-76.35497,5.554198,11.77978,100.769,-5.92041,-13.5498
0,-0.7595215,-0.1400146,-0.5769043,-0.3612061,0.04504395,0.2960205,-0.5455322,-0.8718262,-0.01574707,-34.79004,-85.083,27.22168,-54.80957,-75.37841,29.90722,-131.1646,-69.82421,41.68701
0,-0.8881836,-0.05456543,-0.4451904,-0.1286621,0.08544922,0.1317139,-0.4898682,0.1304932,0.4277344,-5.187988,6.530761,-1.586914,29.60205,91.61376,-28.80859,-25.20752,16.23535,1.098633
0,-0.112915,-0.03308105,-1.036255,0.7752686,0.02148438,-0.5910645,0.6466064,0.1069336,-0.4593506,26.36719,19.59229,21.1792,31.55517,13.06152,22.76611,61.15723,104.6753,-6.04248
0,-0.1071777,-0.1247559,-0.9556885,0.005737305,-0.0916748,0.08056641,0.7810059,-0.07019043,-0.510498,19.16504,3.173828,13.42773,-7.202147,-16.41846,-7.751464,24.35303,-3.356933,15.01465
0,-0.09545898,-0.6315918,-0.7502441,0.01171875,-0.5068359,0.2054443,0.01745605,-0.5985107,0.2860107,-13.79394,5.187988,-10.43701,-32.95898,2.01416,-23.86474,-40.16113,-14.4043,-31.61621
0,-0.1907959,-0.2714844,-0.9306641,-0.09533691,0.3601074,-0.1804199,-0.08361816,-0.1467285,0.02502441,-148.9868,-9.643555,-50.90332,-135.1929,-14.83154,-40.4663,-168.1519,-12.81738,-64.33105
0,-0.236084,0.001220703,-0.9659424,-0.04528809,0.2727051,-0.03527832,-0.140625,0.6328125,-0.2156982,0.9155272,1.037598,-1.464844,149.9023,10.68115,49.43847,14.70947,-4.15039,8.972167
0,-0.1298828,0.4134521,-0.8532715,0.1062012,0.4122314,0.1126709,0.06091309,0.6849365,0.07739258,-149.292,0.8544921,12.51221,-150.2075,-0.1831055,13.97705,-0.3051758,10.49805,63.41552
0,-0.0949707,0.6474609,-0.7092285,0.03491211,0.2340088,0.144043,0.1411133,0.6462402,0.2567139,94.9707,-25.8789,-12.87842,244.2627,-26.7334,-25.39062,94.05517,-26.9165,-11.41357
0,-0.3226318,-0.1832275,-0.9213867,-0.2276611,-0.8306885,-0.2121582,-0.192749,-0.5966797,-0.06811523,2.197266,-0.9155272,-3.417969,-92.77343,24.96338,9.460448,151.4893,-1.770019,-15.93017
0,-0.2209473,-0.7213135,-0.6428223,0.1016846,-0.5380859,0.2785645,-0.1259766,-1.368774,0.06640625,59.08203,19.22607,18.37158,56.88476,20.1416,21.78955,-35.88867,45.10498,31.25
0,-0.2312012,-0.3428955,-0.9245605,-0.01025391,0.378418,-0.2817383,0.09143066,-0.159668,-0.003173828,-103.5767,-25.8789,-24.71924,-162.6587,-45.10498,-43.09082,-105.7739,-24.96338,-21.30127
0,-0.2342529,-0.0826416,-0.9182129,-0.003051758,0.2602539,0.006347656,-0.01330566,0.6386719,-0.2753906,-4.394531,12.51221,-4.150391,99.18212,38.39111,20.56885,-63.47656,-6.713868,-22.52197
0,0.1787109,-0.006835938,-0.9291992,0.4129639,0.07580566,-0.01098633,0.4099121,0.3360596,-0.004638672,8.605957,4.821777,4.882813,13.00049,-7.690429,9.033203,112.1826,30.70068,29.60205
0,0.1293945,-0.09631348,-1.003662,-0.04931641,-0.08947754,-0.07446289,0.3636475,-0.01367188,-0.08544922,50.04882,-106.4453,-4.760742,41.44287,-111.2671,-9.643555,54.44336,-118.9575,-0.6103516
0,-0.4820557,0.05371094,-0.8282471,-0.6114502,0.1500244,0.175415,-0.6607666,0.06054688,0.1009521,-2.868652,-2.990722,-1.953125,-52.91748,103.4546,2.807617,-11.47461,-7.8125,-6.835938
0,-0.6801758,-0.03137207,-0.7559814,-0.1981201,-0.08508301,0.07226563,-0.8095703,0.06494141,0.2476807,27.16064,-58.41064,9.094238,30.02929,-55.41992,11.04736,-22.88818,48.03466,13.85498
0,-0.8212891,0.08496094,-0.5356445,-0.1411133,0.116333,0.2203369,-0.3392334,0.03125,0.2926025,3.601074,2.563476,-4.333496,-23.55957,60.97412,-13.42773,6.469726,5.554199,-2.380371
0,-0.4246826,-0.1192627,-1.018555,0.3966064,-0.2042236,-0.4829102,0.2554932,-0.08789063,-0.2625732,2.624511,20.26367,-4.02832,-0.9765625,17.70019,0.3051758,-24.53613,78.67431,-13.12256
0,-0.1711426,-0.4625244,-0.8433838,0.25354,-0.3432617,0.1751709,0.6501465,-0.5474854,-0.3077393,59.2041,23.86474,17.8833,56.57959,3.601074,21.91162,55.60302,21.30127,22.2168
0,-0.1640625,-0.6461182,-0.6976318,0.007080078,-0.1835938,0.145752,0.2606201,-0.5268555,0.3209229,-59.57031,-4.699707,-10.92529,-118.7744,-28.56445,-28.80859,-62.19482,-24.96338,-6.896972
0,-0.2010498,-0.0802002,-0.9611816,-0.0369873,0.565918,-0.2635498,-0.02990723,0.3823242,-0.1177979,4.394531,1.770019,-1.037598,63.96484,6.469727,9.887694,-54.80957,-22.09472,-18.9209
0,-0.2113037,-0.06494141,-0.9580078,-0.01025391,0.01525879,0.003173828,-0.04724121,0.5811768,-0.260376,-4.150391,-3.051758,-0.9155272,-8.544922,-4.821777,0.1220704,55.41992,1.647949,10.00976
0,-0.0970459,0.630249,-0.7579346,0.1142578,0.6951904,0.2000732,0.1040039,0.7104492,0.2032471,-32.89795,19.89746,6.835937,-28.74756,22.94922,7.751464,-37.29248,18.12744,7.873535
0,-0.1817627,0.4846191,-0.8041992,-0.0847168,-0.1456299,-0.04626465,0.02954102,0.5495605,0.1538086,179.4433,-31.73828,-27.09961,212.3413,-51.63574,-33.93554,183.5937,-28.68652,-26.18408
0,-0.4102783,-0.2180176,-0.864624,-0.2285156,-0.7026367,-0.0604248,-0.3132324,-0.8482666,-0.1066895,-0.5493164,0.1220703,-0.6713867,-179.9927,31.86035,26.42822,32.34863,-19.77539,-7.507324
0,-0.4067383,-0.1816406,-0.9466553,0.003540039,0.03637695,-0.08203125,-0.2249756,-0.6662598,-0.1424561,-30.27344,-11.59668,2.075195,-29.72412,-11.71875,2.746582,-209.7168,20.1416,29.1748
0,-0.6851807,0.07666016,-0.7471924,-0.2784424,0.2583008,0.1994629,-0.2749023,0.2946777,0.1174316,12.51221,-11.59668,-0.427246,42.78564,0,-2.502441,13.06152,-11.71875,0.2441406
0,-0.7030029,0.06286621,-0.6820068,-0.01782227,-0.01379395,0.06518555,-0.2962646,0.2445068,0.2646484,4.455566,-1.281738,0.7324218,-8.05664,10.31494,1.159668,34.729,10.31494,-1.342773
0,-0.37854,-0.1179199,-0.9659424,0.3244629,-0.1807861,-0.2839355,0.3066406,-0.1945801,-0.21875,1.403808,26.00097,-5.065917,-3.051758,27.28271,-5.798339,-11.1084,37.59765,-4.638671
0,0.03344727,0.06115723,-0.9708252,0.4119873,0.1790771,-0.004882813,0.7364502,-0.001708984,-0.2888184,39.67285,82.21435,12.45117,38.26904,56.21337,17.51709,35.21729,83.49609,11.71875
0,0.2995605,-0.001464844,-0.9533691,0.2661133,-0.06262207,0.01745605,0.6781006,0.1164551,0.01257324,1.708984,1.220703,2.258301,-37.96387,-80.99364,-10.19287,0.3051758,-24.78027,7.324218
0,-0.1313477,-0.008666992,-0.9171143,-0.4309082,-0.007202148,0.03625488,-0.1647949,-0.06982422,0.05371094,11.04736,-110.7178,-0.4882812,9.338378,-111.9385,-2.746582,-28.62549,-192.9321,-12.93945
0,-0.6027832,-0.03527832,-0.8156738,-0.4714355,-0.02661133,0.1014404,-0.9023438,-0.03381348,0.1376953,2.502441,3.784179,5.249023,-8.544921,114.5019,5.737304,0.7934571,2.563476,2.990722
0,-0.8297119,-0.1016846,-0.4649658,-0.2269287,-0.06640625,0.350708,-0.6983643,-0.09301758,0.4521484,-18.06641,-65.67383,6.16455,-20.56885,-69.45801,0.9155273,-29.11377,45.04394,6.652832
0,-0.8999023,-0.05224609,-0.4240723,-0.07019043,0.04943848,0.04089355,-0.2971191,-0.01696777,0.3916016,8.056641,-7.995605,-3.173828,26.12305,57.67822,-9.338378,5.554199,-11.77978,-8.422851
0,-0.6473389,-0.08703613,-0.8408203,0.2525635,-0.03479004,-0.416748,0.182373,0.01464844,-0.3758545,-1.831055,28.38135,-18.85986,-9.887695,36.37695,-15.68604,16.23535,94.05518,-25.02441
0,-0.5483398,-0.06970215,-0.7874756,0.09899902,0.01733398,0.05334473,0.3515625,-0.01745605,-0.3634033,-9.70459,32.65381,1.525879,-7.873535,4.272463,20.38574,-17.76123,40.64941,4.699707
0,-0.02270508,-0.02429199,-0.9631348,0.5256348,0.04541016,-0.1756592,0.6246338,0.06274414,-0.1223145,0.1831055,15.74707,4.272461,9.887695,-16.90674,2.746582,2.01416,-12.63428,23.13232
0,0.02355957,-0.01391602,-0.9761963,0.04626465,0.01037598,-0.01306152,0.5718994,0.05578613,-0.1887207,4.943848,-7.141113,-0.3051758,4.760742,-22.88818,-4.577637,14.64844,-39.79492,-1.831055
0,-0.5668945,-0.01635742,-0.7550049,-0.5904541,-0.002441406,0.2211914,-0.5441895,0.00793457,0.2081299,-3.051758,-1.770019,-0.3662109,-7.995605,5.371093,-0.06103513,-3.234863,-17.51709,-4.638672
0,-0.5638428,-0.02880859,-0.8006592,0.003051758,-0.01245117,-0.0456543,-0.5874023,-0.01489258,0.1755371,2.075195,3.90625,-1.525879,5.126953,5.676269,-1.159668,-2.868652,11.04736,-1.220703
0,-0.3709717,-0.5314941,-0.7650146,0.1928711,-0.5026855,0.03564453,0.1959229,-0.5151367,-0.01000977,42.35839,1.89209,4.821777,40.2832,-2.01416,6.347656,45.41015,3.662109,5.187988
0,-0.3157959,-0.4980469,-0.7664795,0.05517578,0.03344727,-0.001464844,0.2480469,-0.4692383,0.03417969,-11.96289,5.249023,-3.601074,-54.32129,3.356933,-8.422852,-14.03808,1.342773,-2.075195
0,-0.253418,-0.06896973,-0.9335938,0.06237793,0.4290771,-0.1671143,0.1175537,0.4625244,-0.1685791,3.90625,-2.929687,0.3051758,15.86914,-8.17871,3.90625,-38.45214,-4.821777,-4.516602
0,-0.2457275,0.04919434,-0.9658203,0.00769043,0.1181641,-0.03222656,0.07006836,0.5472412,-0.1993408,-96.06933,7.507324,0.793457,-99.97558,10.43701,0.4882812,-84.10644,2.258301,4.394531
0,-0.128418,0.6236572,-0.7557373,0.1173096,0.5744629,0.210083,0.125,0.692627,0.1778564,0.8544921,-5.310058,-4.943848,96.92382,-12.81738,-5.737305,-3.051758,-2.380371,-5.249023
0,-0.3723145,-0.2813721,-0.9034424,-0.2438965,-0.9050293,-0.1477051,-0.1265869,-0.3305664,0.06237793,51.02539,22.82715,5.249023,50.17089,28.13721,10.19287,147.0947,15.31982,4.455566
0,-0.2602539,-0.2510986,-0.8527832,0.1120605,0.03027344,0.05065918,-0.1318359,-0.8747559,-0.0970459,32.53174,17.02881,25.57373,-18.49365,-5.798338,20.32471,31.67725,22.33887,30.51758
0,-0.399292,-0.6226807,-0.6439209,-0.1390381,-0.371582,0.2088623,-0.02697754,-0.3413086,0.2595215,-34.66797,8.422852,-18.9209,-67.19971,-8.605957,-44.49463,-85.69336,-14.40429,-24.16992
0,-0.2701416,0.006713867,-0.8195801,0.1291504,0.6293945,-0.1756592,-0.009887695,0.2578125,0.03320313,-27.58789,-13.42773,-0.427246,7.08008,-21.85059,18.49365,-60.11963,-30.45654,-26.00097
0,-0.2470703,-0.07263184,-0.9887695,0.02307129,-0.0793457,-0.1691895,0.1522217,0.5500488,-0.3448486,-0.1220703,-20.26367,-4.882813,27.46582,-6.835937,-4.455566,34.5459,-28.68652,14.03809
0,-0.9182129,-0.06970215,-0.3045654,-0.6711426,0.002929688,0.6842041,-0.6480713,-0.07641602,0.5150146,6.469726,-40.40527,-2.624511,6.591796,-20.1416,2.258301,34.05761,-26.97754,-2.197265
0,-0.9569092,-0.06298828,-0.2712402,-0.03869629,0.006713867,0.0333252,-0.7098389,0.009643555,0.7175293,9.887695,-28.80859,5.798339,3.417969,11.59668,8.422851,10.00977,-8.544922,10.68115
0,-0.8811035,-0.1237793,-0.08935547,0.07580566,-0.06079102,0.1818848,0.03710938,-0.05407715,0.21521,14.95361,92.65136,-4.333496,5.065917,121.46,-10.13184,8.483887,133.0566,-1.708985
0,-0.2615967,0.07641602,-0.9420166,0.6195068,0.2001953,-0.8526611,0.6953125,0.1394043,-0.6707764,-11.2915,18.24951,1.89209,-26.24512,-74.40185,6.225586,-21.1792,47.05811,-3.90625
0,-0.1181641,0.08605957,-0.9943848,0.1434326,0.009643555,-0.05236816,0.7629395,0.2098389,-0.9050293,1.037598,-14.16016,-2.563476,12.3291,-32.40967,-4.455566,-13.91601,-106.8115,1.77002
0,-0.0916748,-0.1914063,-0.9542236,0.02648926,-0.2774658,0.04016113,0.1699219,-0.2678223,-0.01220703,-36.07178,0.6103516,-21.11816,-37.10938,14.77051,-18.55469,-24.78027,-17.63916,-23.01025
0,-0.583252,-0.06506348,-0.9243164,-0.4915771,0.1263428,0.02990723,-0.4650879,-0.151123,0.07006836,23.6206,-194.8852,10.43701,59.69238,-195.4956,31.55517,22.58301,-180.7251,13.00049
0,-0.892334,-0.1534424,0.4290771,-0.309082,-0.08837891,1.353394,-0.8006592,0.03796387,1.383301,-14.95361,-31.55517,8.117676,-38.57421,163.3301,-2.319335,21.11816,-32.16553,29.23584
0,-0.8774414,-0.1464844,0.399292,0.01489258,0.006958008,-0.02978516,-0.2941895,-0.0814209,1.323608,8.728027,-0.427246,5.126953,23.68164,31.12793,-2.990723,-14.89258,194.458,-5.310058
0,-0.8831787,-0.2531738,0.515625,-0.005737305,-0.1066895,0.116333,0.009155273,-0.09973145,0.08654785,-1.953125,-13.30566,-1.525879,-10.68115,-12.87842,-6.652832,13.00049,18.24951,-9.643555
0,-0.795166,-0.166748,0.5722656,0.0880127,0.08642578,0.05664063,0.08227539,-0.02026367,0.1729736,-3.051758,3.295898,0.1220703,-1.098633,16.60156,1.647949,-11.77979,3.723144,-5.004882
0,-0.8261719,-0.217041,0.5541992,-0.03100586,-0.05029297,-0.01806641,0.05700684,0.03613281,0.03857422,0.427246,2.197266,-0.3051758,3.479004,-1.098633,-0.4272461,2.380371,15.50293,1.220703
0,-0.8153076,-0.1098633,0.06176758,0.01086426,0.1071777,-0.4924316,-0.0201416,0.05688477,-0.510498,-5.432128,195.1904,12.63428,-5.859375,192.9931,12.93945,-2.380371,191.8945,12.51221
0,-0.5754395,-0.1236572,-0.8098145,0.2398682,-0.01379395,-0.871582,0.2507324,0.09338379,-1.364014,0.6103516,2.01416,0.427246,6.04248,-193.1763,-12.20703,0.1831055,-0.1831055,0.7324219
0,-0.2104492,-0.04553223,-0.9794922,0.3649902,0.078125,-0.1696777,0.6048584,0.06433105,-1.04126,1.220703,149.1699,31.67724,0.6103516,147.1558,31.25,6.652832,-46.02049,19.04297
0,0.4522705,-0.008911133,-0.8653564,0.6627197,0.03662109,0.1141357,1.02771,0.1147461,-0.05554199,-3.540039,-26.00097,-10.62012,-4.760742,-175.1709,-42.29736,-4.150391,-28.01513,-11.04736
0,0.3922119,-0.03186035,-1.098511,-0.06005859,-0.02294922,-0.2331543,0.6026611,0.01367188,-0.1190186,10.86426,-86.24267,-19.71436,14.4043,-60.24169,-9.094239,9.643554,-235.4126,-51.3916
0,-0.01525879,-0.7912598,-0.567749,-0.01525879,-0.7912598,-0.567749,-0.01525879,-0.7912598,-0.567749,0.3051758,-0.7324218,-0.3662109,0.3051758,-0.7324218,-0.3662109,0.3051758,-0.7324218,-0.3662109
0,-0.01049805,-0.7935791,-0.5687256,0.004760742,-0.002319336,-0.000976563,-0.01049805,-0.7935791,-0.5687256,0.1220703,-1.098633,-1.098633,-0.1831055,-0.366211,-0.7324219,0.1220703,-1.098633,-1.098633
